movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
"juliet, naked",Comedy Drama Romance,Jesse Peretz,Ethan Hawke,Rose Byrne,None,Jesse Peretz Ethan Hawke Rose Byrne None Comedy Drama Romance
down a dark hall,Thriller Drama Fantasy Horror,Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Rodrigo Cortés AnnaSophia Robb Uma Thurman Isabelle Fuhrman Thriller Drama Fantasy Horror
the happytime murders,Action Comedy Crime,Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Brian Henson Melissa McCarthy Maya Rudolph Joel McHale Action Comedy Crime
searching,Thriller Mystery Drama,Aneesh Chaganty,John Cho,Debra Messing,None,Aneesh Chaganty John Cho Debra Messing None Thriller Mystery Drama
papillon,Drama History Crime,Michael Noer,Charlie Hunnam,Rami Malek,None,Michael Noer Charlie Hunnam Rami Malek None Drama History Crime
a.x.l.,Science Fiction Action Adventure Family,Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Oliver Daly Alex Neustaedter Becky G Alex MacNicoll Science Fiction Action Adventure Family
operation finale,Drama History Thriller,Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Chris Weitz Oscar Isaac Ben Kingsley Lior Raz Drama History Thriller
kin,Science Fiction Action,"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,"Jonathan Baker, Josh Baker Myles Truitt Jack Reynor Zoë Kravitz Science Fiction Action"
the little stranger,Mystery Drama Horror History,Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Lenny Abrahamson Domhnall Gleeson Ruth Wilson Will Poulter Mystery Drama Horror History
destination wedding,Romance Comedy Drama,Victor Levin,Winona Ryder,Keanu Reeves,None,Victor Levin Winona Ryder Keanu Reeves None Romance Comedy Drama
the nun,Horror Mystery Thriller,Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Corin Hardy Demián Bichir Taissa Farmiga Jonas Bloquet Horror Mystery Thriller
peppermint,Action Thriller,Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Pierre Morel Jennifer Garner John Ortiz Juan Pablo Raba Action Thriller
the predator,Science Fiction Action Adventure Comedy,Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Shane Black Boyd Holbrook Trevante Rhodes Jacob Tremblay Science Fiction Action Adventure Comedy
white boy rick,Crime Drama,Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Yann Demange Matthew McConaughey Richie Merritt Bel Powley Crime Drama
a simple favor,Crime Thriller,Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Paul Feig Anna Kendrick Blake Lively Henry Golding Crime Thriller
the children act,Drama,Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Richard Eyre Emma Thompson Stanley Tucci Fionn Whitehead Drama
lizzie,Crime Drama Thriller,Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Craig William Macneill Chloë Sevigny Kristen Stewart Jay Huguley Crime Drama Thriller
unbroken: path to redemption,Drama,Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Harold Cronk Samuel Hunt Merritt Patterson Vanessa Bell Calloway Drama
hell house llc ii: the abaddon hotel,Horror,Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Stephen Cognetti Vasile Flutur Jillian Geurts Joy Shatz Horror
